index,nl_intent,nl_intent_normalized,intent_type,action,expectation_type,endpoint,lifecycle_status,resource_id,resource_name,resource_version,priority,context,is_bundle,service_type,quality_level,latency,throughput,availability,max_participants,reporting_interval
912,Fetch the intent 75194,fetch the intent 75194,IntentSpecification,GET,,/intentspecification,Active,75194,TelehealthIntent001,3.2,5,5G networks,True,VoiceService,Premium,10 ms,10 Gbps,99.99%,50,10
913,Get monitoring data for NetworkSliceIntent002,get monitoring data for networksliceintent002,Intent,GET (IntentReport),PropertyExpectation,/intent,Created,92093,NetworkSliceIntent002,5.0,5,Video streaming,False,EventWirelessAccess,1080pHD,10 ms,100 Mbps,99.9%,500,10
914,Define an intent to deliver deliver 4K ultra HD video streaming to 200 participants in the stadium,define an intent to deliver deliver 4k ultra hd video streaming to 200 participants in the stadium,IntentSpecification,POST,,/intentspecification,Active,59774,SmartGridProvisionv1,4.1,5,Autonomous services,True,NetworkSlice,Standard,5 ms,10 Gbps,99.9%,1000,10
915,What is the current state compliance?,what is the current state compliance?,IntentReport,GET (IntentReport),,/intentreport,Created,88890,SmartGridServicev1,2.7,1,intent-based networks,True,VideoStreaming,Standard,12 ms,100 Mbps,99.99%,500,30
916,What is the state of TelehealthServiceC?,what is the state of telehealthservicec?,ProbeIntent,GET,ReportingExpectation,/intent,Created,30736,TelehealthServiceC,1.5,3,Smart city,False,VoiceService,Basic,100 ms,1 Gbps,99.95%,100,5
917,Alter the properties of CloudServiceDeploymentC,alter the properties of cloudservicedeploymentc,Intent,PATCH,PropertyExpectation,/intent,Created,65033,CloudServiceDeploymentC,4.4,5,Enterprise networks,True,DataAnalytics,480p,100 ms,100 Mbps,99.999%,500,5
918,Destroy intent 98752,destroy intent 98752,IntentSpecification,DELETE,,/intentspecification,Created,98752,IoTConnectDeploymentv1,1.6,3,Broadband services,True,EventWirelessAccess,720p,20 ms,10 Gbps,99.99%,5000,15
919,Revise NetworkSliceService001 requirements,revise networksliceservice001 requirements,IntentSpecification,PATCH,,/intentspecification,Created,95645,NetworkSliceService001,2.5,2,Autonomous services,False,IoTService,4KUHD,50 ms,500 Mbps,99.99%,5000,15
920,Change VideoStreamDeployment001 priority level to 5,change videostreamdeployment001 priority level to 5,IntentSpecification,PATCH,,/intentspecification,Created,85673,VideoStreamDeployment001,2.6,5,Smart city,False,BroadbandService,720p,20 ms,10 Gbps,99.9%,200,60
921,Search for intent 67444,search for intent 67444,IntentSpecification,GET,,/intentspecification,Created,67444,AutonomousDeployment002,2.5,2,Edge computing,True,BroadbandService,480p,12 ms,100 Mbps,99.99%,500,60
922,What is the current state compliance?,what is the current state compliance?,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Created,20579,SmartGridIntentA,3.9,4,Edge computing,True,EventWirelessAccess,Premium,100 ms,500 Mbps,99.99%,50,60
923,Get all intents with priority 4,get all intents with priority 4,Intent,GET,ReportingExpectation,/intent,Created,34022,VideoStreamSetupv1,2.9,4,Smart city,False,CloudService,720p,20 ms,100 Mbps,99.9%,5000,30
924,Generate report for intent 89462,generate report for intent 89462,IntentReport,GET (IntentReport),,/intentreport,Active,89462,IoTConnectDeploymentv1,4.6,3,Smart city,True,BroadbandService,720p,10 ms,1 Gbps,99.9%,200,60
925,Set new property value for VideoStreamSetupv2,set new property value for videostreamsetupv2,IntentSpecification,PATCH,,/intentspecification,Active,73244,VideoStreamSetupv2,1.9,5,Enterprise networks,False,CloudService,Standard,20 ms,100 Mbps,99.95%,200,10
926,Retrieve intent 65417 information,retrieve intent 65417 information,ProbeIntent,GET,ReportingExpectation,/intent,Active,65417,FactoryAutoDeploymentv1,1.8,2,Smart city,False,VoiceService,480p,12 ms,1 Gbps,99.999%,100,10
927,Update the deadline for intent 34000 to 2026-06-06,update the deadline for intent 34000 to 2026-06-06,Intent,PATCH,PropertyExpectation,/intent,Active,34000,BroadbandServiceA,2.4,5,Broadband services,True,IoTService,Basic,20 ms,10 Gbps,99.9%,500,15
928,Retrieve intent 73728 information,retrieve intent 73728 information,ProbeIntent,GET,ReportingExpectation,/intent,Active,73728,EdgeComputeIntentC,5.8,1,Smart city,False,NetworkSlice,1080pHD,12 ms,10 Gbps,99.99%,200,60
929,Show information about intent 85841,show information about intent 85841,IntentSpecification,GET,,/intentspecification,Created,85841,VideoStreamProvision001,2.1,4,Video streaming,False,CloudService,1080pHD,10 ms,10 Gbps,99.99%,200,60
930,Order a VideoStreaming service with 1000 device capacity,order a videostreaming service with 1000 device capacity,Intent,POST,ReportingExpectation,/intent,Active,96019,TelehealthDeploymentB,2.4,5,Video streaming,True,VideoStreaming,1080pHD,10 ms,100 Mbps,99.9%,500,10
931,Eliminate intent MissionCriticalIntentv2,eliminate intent missioncriticalintentv2,IntentSpecification,DELETE,,/intentspecification,Created,38354,MissionCriticalIntentv2,3.7,1,IoT networks,True,VoiceService,480p,10 ms,500 Mbps,99.95%,500,10
932,Eliminate intent SmartGridServiceB,eliminate intent smartgridserviceb,Intent,DELETE,DeliveryExpectation,/intent,Active,45189,SmartGridServiceB,1.8,1,Edge computing,False,DataAnalytics,720p,20 ms,1 Gbps,99.9%,500,15
933,Show all reporting events for NetworkSliceIntentB,show all reporting events for networksliceintentb,Intent,GET (IntentReport),DeliveryExpectation,/intent,Active,50432,NetworkSliceIntentB,3.5,4,Smart city,True,VideoStreaming,1080pHD,12 ms,1 Gbps,99.999%,200,15
934,What is the status of intent 79469?,what is the status of intent 79469?,IntentReport,GET,,/intentreport,Created,79469,TelehealthProvision002,4.0,1,Broadband services,True,DataAnalytics,720p,12 ms,100 Mbps,99.9%,500,30
935,Start a new BroadbandService with high availability of 99.99%,start a new broadbandservice with high availability of 99.99%,IntentSpecification,POST,,/intentspecification,Active,54564,TelehealthSetupB,2.4,1,Smart city,False,BroadbandService,Basic,20 ms,500 Mbps,99.99%,100,5
936,Request a VoiceService with multi-region deployment,request a voiceservice with multi-region deployment,Intent,POST,PropertyExpectation,/intent,Active,79245,FactoryAutoServiceC,1.5,1,Broadband services,True,VoiceService,720p,20 ms,10 Gbps,99.999%,5000,15
937,Get intent report for deploy private 5G network for industrial automation,get intent report for deploy private 5g network for industrial automation,Intent,GET (IntentReport),ReportingExpectation,/intent,Created,99116,SmartCityIntentA,2.7,4,5G networks,False,VoiceService,Premium,10 ms,100 Mbps,99.95%,500,10
938,What are the reporting metrics?,what are the reporting metrics?,IntentReport,GET (IntentReport),,/intentreport,Active,35331,IoTConnectIntent002,2.1,3,Video streaming,False,DataAnalytics,Basic,50 ms,500 Mbps,99.9%,100,15
939,Change EdgeComputeDeploymentB priority level to 1,change edgecomputedeploymentb priority level to 1,IntentSpecification,PATCH,,/intentspecification,Active,70620,EdgeComputeDeploymentB,4.3,1,IoT networks,False,EdgeComputing,720p,100 ms,10 Gbps,99.9%,50,10
940,Configure a new EventWirelessAccess intent,configure a new eventwirelessaccess intent,Intent,POST,DeliveryExpectation,/intent,Created,69009,AutonomousServiceC,4.1,4,Broadband services,True,EventWirelessAccess,4KUHD,10 ms,500 Mbps,99.9%,200,60
941,Update intent 69998 with new values,update intent 69998 with new values,Intent,PATCH,ReportingExpectation,/intent,Created,69998,IoTConnectIntentC,1.7,5,Broadband services,False,BroadbandService,1080pHD,10 ms,500 Mbps,99.9%,50,15
942,Delete expired intents,delete expired intents,Intent,DELETE,PropertyExpectation,/intent,Created,56369,ConnectedCarServicev1,5.2,3,intent-based networks,False,EventWirelessAccess,Standard,100 ms,100 Mbps,99.999%,50,5
943,Show all active intents,show all active intents,IntentSpecification,GET,,/intentspecification,Active,72981,VideoStreamServicev1,4.2,4,Video streaming,True,StreamingApplication,720p,50 ms,500 Mbps,99.9%,500,30
944,Generate monitoring report for provide mission critical communications for emergency services,generate monitoring report for provide mission critical communications for emergency services,Intent,GET (IntentReport),ReportingExpectation,/intent,Active,60153,CloudServiceDeploymentC,4.9,4,5G networks,True,CloudService,1080pHD,12 ms,100 Mbps,99.99%,50,60
945,Destroy intent 77599,destroy intent 77599,IntentSpecification,DELETE,,/intentspecification,Active,77599,MissionCriticalIntentC,4.1,3,Broadband services,False,NetworkSlice,1080pHD,50 ms,100 Mbps,99.9%,50,5
946,Delete the intent for deploy private 5G network for industrial automation,delete the intent for deploy private 5g network for industrial automation,Intent,DELETE,DeliveryExpectation,/intent,Active,44258,FactoryAutoSetupB,1.2,1,intent-based networks,False,BroadbandService,Basic,10 ms,100 Mbps,99.9%,200,30
947,Remove the VoiceService intent,remove the voiceservice intent,Intent,DELETE,PropertyExpectation,/intent,Active,89331,VideoStreamSetupv2,2.4,1,Broadband services,True,VoiceService,Standard,12 ms,1 Gbps,99.999%,1000,15
948,Test if we can provide video streaming service for the event venue,test if we can provide video streaming service for the event venue,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Created,26461,NetworkSliceIntentC,1.6,1,Video streaming,True,DataAnalytics,480p,20 ms,100 Mbps,99.9%,50,60
949,Look up intent 95320,look up intent 95320,IntentSpecification,GET,,/intentspecification,Created,95320,EventLiveIntentB,1.4,3,IoT networks,True,VideoStreaming,Premium,50 ms,10 Gbps,99.9%,200,10
950,Modify the expression of intent MissionCriticalDeployment001,modify the expression of intent missioncriticaldeployment001,IntentSpecification,PATCH,,/intentspecification,Created,40675,MissionCriticalDeployment001,2.4,5,Smart city,True,BroadbandService,4KUHD,50 ms,100 Mbps,99.95%,200,30
951,Show information about intent 86944,show information about intent 86944,IntentReport,GET,,/intentreport,Created,86944,MissionCriticalDeploymentC,4.9,1,Autonomous services,True,VideoStreaming,720p,10 ms,10 Gbps,99.9%,200,5
952,Probe intent 96851 to check feasibility,probe intent 96851 to check feasibility,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Active,96851,GamingService001,5.3,1,Cloud services,False,NetworkSlice,1080pHD,100 ms,100 Mbps,99.95%,200,10
953,Get the current status of SmartGridDeployment001,get the current status of smartgriddeployment001,ProbeIntent,GET,ReportingExpectation,/intent,Active,54339,SmartGridDeployment001,5.0,1,Broadband services,True,DataAnalytics,480p,10 ms,1 Gbps,99.999%,200,15
954,What intents exist for Smart city?,what intents exist for smart city?,IntentSpecification,GET,,/intentspecification,Active,40849,AutonomousProvision001,3.6,5,Smart city,False,DataAnalytics,480p,20 ms,500 Mbps,99.9%,5000,5
955,Show all active intents,show all active intents,IntentSpecification,GET,,/intentspecification,Active,64625,FactoryAutoServiceC,5.2,3,Cloud services,True,EdgeComputing,Standard,50 ms,500 Mbps,99.9%,100,30
956,Edit intent 69418 specifications,edit intent 69418 specifications,IntentSpecification,PATCH,,/intentspecification,Active,69418,MissionCriticalServiceB,4.1,2,intent-based networks,False,EventWirelessAccess,Standard,5 ms,10 Gbps,99.999%,1000,10
957,Show status report of intent 57572,show status report of intent 57572,IntentReport,GET (IntentReport),,/intentreport,Created,57572,VideoStreamIntentB,3.6,3,IoT networks,True,IoTService,720p,50 ms,100 Mbps,99.999%,100,10
958,Revise EventLiveProvisionB requirements,revise eventliveprovisionb requirements,IntentSpecification,PATCH,,/intentspecification,Active,46971,EventLiveProvisionB,2.2,5,Smart city,True,EventWirelessAccess,Standard,20 ms,500 Mbps,99.95%,100,15
959,Show intent validation results,show intent validation results,Intent,GET (IntentReport),DeliveryExpectation,/intent,Created,42599,IoTConnectSetupv1,4.5,2,Enterprise networks,True,StreamingApplication,Premium,100 ms,500 Mbps,99.95%,1000,15
960,Probe the system for enable telehealth services with guaranteed bandwidth capability,probe the system for enable telehealth services with guaranteed bandwidth capability,ProbeIntent,POST (ProbeIntent),ReportingExpectation,/intent,Created,94834,VideoStreamIntentv1,4.7,1,Cloud services,False,EdgeComputing,Basic,20 ms,100 Mbps,99.99%,50,15
961,Delete the intent for deploy private 5G network for industrial automation,delete the intent for deploy private 5g network for industrial automation,Intent,DELETE,DeliveryExpectation,/intent,Created,55989,EdgeComputeProvisionC,3.9,4,IoT networks,True,EdgeComputing,720p,5 ms,100 Mbps,99.95%,1000,30
962,Get compliance report for TelehealthServiceA,get compliance report for telehealthservicea,ProbeIntent,GET (IntentReport),DeliveryExpectation,/intent,Created,89526,TelehealthServiceA,4.4,1,Video streaming,False,CloudService,Basic,50 ms,1 Gbps,99.999%,5000,15
963,Amend intent 36225 parameters,amend intent 36225 parameters,IntentSpecification,PATCH,,/intentspecification,Created,36225,GamingSetupv2,2.7,3,Edge computing,True,BroadbandService,480p,50 ms,500 Mbps,99.999%,200,15
964,Show status report of intent 79099,show status report of intent 79099,IntentReport,GET (IntentReport),,/intentreport,Active,79099,CloudServiceProvisionB,2.6,3,Smart city,False,DataAnalytics,1080pHD,5 ms,1 Gbps,99.99%,200,30
965,Purge intent 94096,purge intent 94096,Intent,DELETE,PropertyExpectation,/intent,Active,94096,TelehealthProvisionv2,1.1,5,Video streaming,False,CloudService,1080pHD,100 ms,10 Gbps,99.999%,50,5
966,What is the reporting status of AutonomousIntentv1?,what is the reporting status of autonomousintentv1?,IntentReport,GET (IntentReport),,/intentreport,Created,32332,AutonomousIntentv1,3.1,4,5G networks,False,CloudService,480p,12 ms,10 Gbps,99.95%,100,10
967,Cancel all EdgeComputing intents,cancel all edgecomputing intents,Intent,DELETE,ReportingExpectation,/intent,Created,51860,AutonomousDeployment002,4.6,2,Video streaming,True,EdgeComputing,Premium,10 ms,500 Mbps,99.999%,50,5
968,What is the reporting status of EventLiveIntentA?,what is the reporting status of eventliveintenta?,ProbeIntent,GET (IntentReport),ReportingExpectation,/intent,Active,79563,EventLiveIntentA,2.5,5,intent-based networks,False,NetworkSlice,480p,5 ms,100 Mbps,99.9%,5000,10
969,Unregister intent NetworkSliceIntentv1,unregister intent networksliceintentv1,Intent,DELETE,ReportingExpectation,/intent,Active,59892,NetworkSliceIntentv1,3.3,2,Cloud services,False,VoiceService,720p,100 ms,10 Gbps,99.95%,1000,5
970,Get all intents with priority 4,get all intents with priority 4,IntentSpecification,GET,,/intentspecification,Active,78523,EdgeComputeDeploymentv2,3.0,4,intent-based networks,False,VideoStreaming,Basic,12 ms,100 Mbps,99.95%,500,30
971,Assess intent 37937 viability,assess intent 37937 viability,ProbeIntent,POST (ProbeIntent),PropertyExpectation,/intent,Active,37937,SmartGridDeploymentC,3.8,5,Enterprise networks,False,IoTService,720p,5 ms,500 Mbps,99.9%,50,10
972,Probe reporting status of intent 60577,probe reporting status of intent 60577,ProbeIntent,POST (ProbeIntent),DeliveryExpectation,/intent,Created,60577,AutonomousDeployment001,2.5,3,Edge computing,False,EventWirelessAccess,Standard,100 ms,500 Mbps,99.99%,200,30
973,Retrieve intent 42729 information,retrieve intent 42729 information,Intent,GET,DeliveryExpectation,/intent,Created,42729,SmartCityService002,2.7,3,Edge computing,False,IoTService,Standard,20 ms,500 Mbps,99.99%,500,60
974,Generate intent assessment report,generate intent assessment report,Intent,GET (IntentReport),ReportingExpectation,/intent,Created,52320,CloudServiceIntentA,1.4,2,IoT networks,True,DataAnalytics,480p,10 ms,10 Gbps,99.999%,1000,60
